Results_Name,VSPAERO_History,,,,
Beta,0,0,0,0,0
CDi,0.00832,0.00883,0.00888,0.00889,0.0089
CDo,0.04579,0.04584,0.04585,0.04584,0.04584
CDtot,0.05411,0.05467,0.05473,0.05474,0.05475
CDtrefftz,0,0,0,0,0
CFx,-0.02028,-0.02102,-0.02108,-0.0211,-0.02111
CFy,0.00038,0.00002,-0.00001,0,0
CFz,0.35458,0.37011,0.37156,0.37186,0.37216
CL,0.35506,0.3706,0.37206,0.37235,0.37266
CMx,0.00389,0.00028,0.00002,0.00001,0.00001
CMy,0.21155,0.21287,0.2124,0.2119,0.21122
CMz,-0.0003,-0.00001,0,0,0
CS,0.00038,0.00002,-0.00001,0,0
E,0.9529,0.97874,0.98005,0.98063,0.98092
FC_AoA_,4.615385,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
FC_Rho_,0.002377,,,,
FC_Roll__Rate,0,,,,
FC_Sref_,11.114691,,,,
FC_Vinf_,100,,,,
FC_Xcg_,4.521099,,,,
FC_Yaw___Rate,0,,,,
FC_Ycg_,0,,,,
FC_Zcg_,-0.223591,,,,
L/D,6.56175,6.77905,6.79816,6.80263,6.80684
Mach,0.001,0.001,0.001,0.001,0.001
T/QS,0.00932,0.00984,0.00986,0.00985,0.00983
WakeIter,1,2,3,4,5
Results_Name,VSPAERO_History,,,,
Results_Timestamp,1639008966,,,,
Results_Date,12,8,2021,,
Results_Time,18,16,6,,
Alpha,5.1282,5.1282,5.1282,5.1282,5.1282
AnalysisMethod,0,,,,
Beta,0,0,0,0,0
CDi,0.01037,0.0106,0.01087,0.01098,0.01099
CDo,0.04593,0.04597,0.04599,0.04599,0.04599
CDtot,0.0563,0.05657,0.05685,0.05697,0.05698
CDtrefftz,0,0,0,0,0
CFx,-0.02503,-0.02573,-0.0259,-0.02599,-0.02601
CFy,0.00039,0.00014,0.00008,0,0
CFz,0.39486,0.4053,0.41016,0.41241,0.4128
CL,0.39552,0.40598,0.41084,0.41308,0.41347
CMx,0.00408,0.0005,0.00034,0.00004,0.00002
CMy,0.2382,0.2489,0.23964,0.23781,0.23718
CMz,0.00042,0.0001,0.00003,0,0
CS,0.00039,0.00014,0.00008,0,0
E,0.94886,0.97834,0.97695,0.97746,0.97809
FC_AoA_,5.128205,,,,
FC_Beta_,0,,,,
FC_Bref_,7.5,,,,
FC_Cref_,1.481959,,,,
FC_Mach_,0.001,,,,
FC_Pitch_Rate,0,,,,
FC_ReCref_,50000,,,,
