Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
213.25,65.07,,213.25,102.23,,213.25,140.43,,213.25,102.38,,213.25,117,,213.25,134.61,,213.25,155.95,,213.25,131.03,,213.25,368.62,,213.25,23.28,,213.25,324.59
213.517,32.83,,213.517,39.55,,213.517,24.03,,213.517,9.25,,213.517,57.9,,213.517,-6.86,,213.517,35.97,,213.517,-17.61,,213.517,223.56,,213.517,10.75,,213.517,301.31
213.785,40,,213.785,57.46,,213.785,95.66,,213.785,39.7,,213.785,40,,213.785,93.42,,213.785,44.92,,213.785,68.35,,213.785,225.35,,213.785,60.89,,213.785,260.12
214.052,82.98,,214.052,-39.25,,214.052,68.8,,214.052,-62.38,,214.052,66.86,,214.052,61.19,,214.052,-12.39,,214.052,16.42,,214.052,223.56,,214.052,32.24,,214.052,244.01
214.32,-15.52,,214.32,21.64,,214.32,65.22,,214.32,59.4,,214.32,-22.68,,214.32,71.93,,214.32,12.69,,214.32,77.31,,214.32,291.61,,214.32,-17.91,,214.32,242.21
214.587,20.3,,214.587,18.06,,214.587,111.78,,214.587,-30.15,,214.587,106.26,,214.587,82.68,,214.587,44.92,,214.587,39.7,,214.587,331.01,,214.587,44.77,,214.587,229.68
214.855,11.34,,214.855,82.53,,214.855,31.19,,214.855,23.58,,214.855,72.23,,214.855,61.19,,214.855,30.59,,214.855,77.31,,214.855,307.73,,214.855,112.82,,214.855,226.1
215.122,-10.15,,215.122,-23.13,,215.122,31.19,,215.122,2.09,,215.122,13.13,,215.122,11.04,,215.122,-35.67,,215.122,-15.82,,215.122,180.58,,215.122,-44.77,,215.122,218.93
215.39,36.41,,215.39,89.69,,215.39,54.47,,215.39,127.45,,215.39,81.19,,215.39,84.47,,215.39,43.13,,215.39,75.51,,215.39,365.04,,215.39,48.35,,215.39,276.24
215.657,-1.19,,215.657,5.52,,215.657,-1.04,,215.657,-12.24,,215.657,40,,215.657,-17.61,,215.657,-44.62,,215.657,41.49,,215.657,241.47,,215.657,-44.77,,215.657,245.8
215.925,-19.1,,215.925,53.88,,215.925,11.49,,215.925,-42.68,,215.925,29.25,,215.925,41.49,,215.925,43.13,,215.925,-33.73,,215.925,275.5,,215.925,-41.19,,215.925,258.33
216.192,-60.29,,216.192,-39.25,,216.192,88.5,,216.192,-8.66,,216.192,4.18,,216.192,59.4,,216.192,-7.01,,216.192,77.31,,216.192,314.89,,216.192,-14.33,,216.192,252.96
216.459,82.98,,216.459,5.52,,216.459,-11.79,,216.459,120.29,,216.459,11.34,,216.459,45.07,,216.459,-30.3,,216.459,-26.56,,216.459,160.88,,216.459,-17.91,,216.459,263.71
216.727,63.28,,216.727,53.88,,216.727,129.69,,216.727,43.28,,216.727,106.26,,216.727,64.77,,216.727,5.52,,216.727,-26.56,,216.727,243.26,,216.727,0,,216.727,292.36
216.994,-65.67,,216.994,-44.62,,216.994,7.91,,216.994,-62.38,,216.994,-11.94,,216.994,9.25,,216.994,-26.71,,216.994,20,,216.994,155.51,,216.994,-50.14,,216.994,279.82
217.261,47.16,,217.261,39.55,,217.261,72.38,,217.261,-39.1,,217.261,36.41,,217.261,14.63,,217.261,-26.71,,217.261,-6.86,,217.261,295.19,,217.261,-55.52,,217.261,265.5
217.529,97.3,,217.529,10.89,,217.529,34.77,,217.529,25.37,,217.529,63.28,,217.529,41.49,,217.529,102.23,,217.529,73.72,,217.529,289.82,,217.529,10.75,,217.529,272.66
217.796,25.67,,217.796,105.81,,217.796,127.9,,217.796,28.95,,217.796,27.46,,217.796,152.52,,217.796,77.16,,217.796,107.75,,217.796,402.65,,217.796,80.59,,217.796,252.96
218.063,106.26,,218.063,82.53,,218.063,95.66,,218.063,79.1,,218.063,125.96,,218.063,71.93,,218.063,5.52,,218.063,75.51,,218.063,400.86,,218.063,82.38,,218.063,356.83
218.331,63.28,,218.331,48.5,,218.331,88.5,,218.331,62.98,,218.331,48.95,,218.331,159.69,,218.331,32.38,,218.331,34.32,,218.331,323.85,,218.331,10.75,,218.331,261.91
218.598,-2.98,,218.598,0.15,,218.598,102.83,,218.598,27.16,,218.598,22.09,,218.598,54.02,,218.598,61.04,,218.598,61.19,,218.598,293.4,,218.598,80.59,,218.598,286.99
218.865,7.76,,218.865,39.55,,218.865,111.78,,218.865,62.98,,218.865,4.18,,218.865,50.44,,218.865,107.6,,218.865,50.44,,218.865,384.74,,218.865,5.37,,218.865,286.99
219.132,-6.57,,219.132,-12.39,,219.132,61.64,,219.132,39.7,,219.132,75.81,,219.132,62.98,,219.132,66.41,,219.132,32.53,,219.132,300.57,,219.132,37.61,,219.132,229.68
219.399,-11.94,,219.399,39.55,,219.399,56.26,,219.399,-6.86,,219.399,52.53,,219.399,64.77,,219.399,16.27,,219.399,20,,219.399,178.79,,219.399,23.28,,219.399,299.52
